date,time,hour,tempF,temp
6/19/2018,2:02:00,2,75,23.88888889
6/19/2018,2:53:00,2,75,23.88888889
6/19/2018,3:53:00,3,74,23.33333333
6/19/2018,4:53:00,4,76,24.44444444
6/19/2018,5:04:00,5,76,24.44444444
6/19/2018,5:11:00,5,76,24.44444444
6/19/2018,5:27:00,5,76,24.44444444
6/19/2018,5:51:00,5,77,25
6/19/2018,5:53:00,5,77,25
6/19/2018,5:57:00,5,76,24.44444444
6/19/2018,6:05:00,6,76,24.44444444
6/19/2018,6:26:00,6,76,24.44444444
6/19/2018,6:53:00,6,77,25
6/19/2018,7:53:00,7,79,26.11111111
6/19/2018,8:53:00,8,81,27.22222222
6/19/2018,9:38:00,9,81,27.22222222
6/19/2018,9:53:00,9,81,27.22222222
6/19/2018,10:02:00,10,79,26.11111111
6/19/2018,10:53:00,10,83,28.33333333
6/19/2018,11:53:00,11,84,28.88888889
6/19/2018,12:51:00,12,79,26.11111111
6/19/2018,12:53:00,12,78,25.55555556
6/19/2018,13:02:00,13,78,25.55555556
6/19/2018,13:53:00,13,81,27.22222222
6/19/2018,14:53:00,14,80,26.66666667
6/19/2018,15:40:00,15,80,26.66666667
6/19/2018,15:53:00,15,80,26.66666667
6/19/2018,16:53:00,16,81,27.22222222
6/19/2018,17:19:00,17,81,27.22222222
6/19/2018,17:53:00,17,80,26.66666667
6/19/2018,18:53:00,18,79,26.11111111
6/19/2018,19:53:00,19,79,26.11111111
6/19/2018,20:20:00,20,78,25.55555556
6/19/2018,20:53:00,20,77,25
6/19/2018,21:53:00,21,77,25
6/19/2018,22:04:00,22,77,25
6/19/2018,22:37:00,22,78,25.55555556
6/19/2018,22:53:00,22,77,25
6/19/2018,23:53:00,23,77,25
6/20/2018,0:33:00,0,77,25
6/20/2018,0:44:00,0,77,25
6/20/2018,0:53:00,0,77,25
6/20/2018,1:53:00,1,77,25
6/20/2018,2:53:00,2,78,25.55555556
6/20/2018,3:53:00,3,79,26.11111111
6/20/2018,4:53:00,4,79,26.11111111
6/20/2018,5:53:00,5,77,25
6/20/2018,6:53:00,6,79,26.11111111
6/20/2018,7:53:00,7,82,27.77777778
6/20/2018,8:53:00,8,84,28.88888889
6/20/2018,9:44:00,9,85,29.44444444
6/20/2018,9:53:00,9,86,30
6/20/2018,10:00:00,10,86,30
6/20/2018,10:17:00,10,85,29.44444444
6/20/2018,10:53:00,10,85,29.44444444
6/20/2018,11:14:00,11,85,29.44444444
6/20/2018,11:53:00,11,86,30
6/20/2018,12:51:00,12,86,30
6/20/2018,12:53:00,12,86,30
6/20/2018,13:18:00,13,86,30
6/20/2018,13:53:00,13,86,30
6/20/2018,14:27:00,14,84,28.88888889
6/20/2018,14:53:00,14,82,27.77777778
6/20/2018,15:44:00,15,80,26.66666667
6/20/2018,15:53:00,15,80,26.66666667
6/20/2018,16:00:00,16,78,25.55555556
6/20/2018,16:05:00,16,76,24.44444444
6/20/2018,16:09:00,16,78,25.55555556
6/20/2018,16:19:00,16,78,25.55555556
6/20/2018,16:28:00,16,77,25
6/20/2018,16:35:00,16,77,25
6/20/2018,16:53:00,16,76,24.44444444
6/20/2018,17:10:00,17,76,24.44444444
6/20/2018,17:21:00,17,76,24.44444444
6/20/2018,17:35:00,17,76,24.44444444
6/20/2018,17:53:00,17,76,24.44444444
6/20/2018,18:13:00,18,76,24.44444444
6/20/2018,18:51:00,18,75,23.88888889
6/20/2018,18:53:00,18,76,24.44444444
6/20/2018,19:40:00,19,76,24.44444444
6/20/2018,19:53:00,19,76,24.44444444
6/20/2018,20:53:00,20,75,23.88888889
6/20/2018,21:53:00,21,76,24.44444444
